model,regime,feature,importance
elasticnet,plan_time,enable_mergejoin,0.0003280409987423675
elasticnet,plan_time,num_sorts,0.0
elasticnet,plan_time,root_node_type__Sort,0.0
extra_trees,plan_time,log1p_estimated_startup_cost,0.32457592060654544
extra_trees,plan_time,log1p_estimated_total_cost,0.19603390713679436
extra_trees,plan_time,startup_to_total_ratio,0.101637231823619
extra_trees,plan_time,num_aggregates,0.0498235097239896
extra_trees,plan_time,log1p_max_subtree_cost,0.04797920997020961
extra_trees,plan_time,num_joins,0.02652764608551971
extra_trees,plan_time,plan_rows_log_range,0.01696450227799906
extra_trees,plan_time,planning_time_ms,0.016361939687157774
extra_trees,plan_time,estimated_startup_cost,0.015064241570444732
extra_trees,plan_time,index_scan_count,0.014201794699983413
extra_trees,plan_time,max_subtree_cost,0.013604602679685785
extra_trees,plan_time,tree_depth,0.013342212308921911
extra_trees,plan_time,estimated_total_cost,0.012737338599006243
extra_trees,plan_time,log1p_total_nodes,0.012521886649750496
extra_trees,plan_time,aggregate_count,0.01229759849272567
extra_trees,plan_time,total_nodes,0.012202990151397461
extra_trees,plan_time,plan_rows_max_node,0.011849868721953202
extra_trees,plan_time,bitmap_index_scan_count,0.011450151324083634
extra_trees,plan_time,bitmap_heap_scan_count,0.01124273973213426
extra_trees,plan_time,max_to_root_cost_ratio,0.009628141312563851
extra_trees,plan_time,num_scans,0.009526001885913408
extra_trees,plan_time,seq_scan_count,0.00558853217623572
extra_trees,plan_time,nested_loop_count,0.0047346457507839905
extra_trees,plan_time,plan_rows_std_to_mean,0.004630707311489376
extra_trees,plan_time,est_rows_per_node,0.004099645400168813
extra_trees,plan_time,cost_per_estimated_row,0.0032903617074862036
extra_trees,plan_time,materialize_count,0.0032535682656017425
extra_trees,plan_time,hash_join_count,0.0030344235382053705
extra_trees,plan_time,log1p_estimated_rows,0.0029815801702684484
extra_trees,plan_time,estimated_rows,0.002975225355509414
extra_trees,plan_time,plan_rows_min_nonzero_node,0.0028856332002528736
extra_trees,plan_time,hash_count,0.0027113056486084666
extra_trees,plan_time,root_node_type__Sort,0.0026246540762555432
extra_trees,plan_time,gather_merge_count,0.0021834287848014047
extra_trees,plan_time,root_node_type__Aggregate,0.0020875823361294226
extra_trees,plan_time,gather_count,0.001944392366889944
extra_trees,plan_time,num_sorts,0.0019414695721252872
extra_trees,plan_time,enable_hashjoin,0.0017165402142685362
extra_trees,plan_time,enable_mergejoin,0.001623713318187532
extra_trees,plan_time,enable_nestloop,0.0013666113726607313
extra_trees,plan_time,root_node_type__Limit,0.0011997045854321247
extra_trees,plan_time,sort_count,0.0011813796025275498
extra_trees,plan_time,limit_count,0.0011649270084298918
extra_trees,plan_time,index_only_scan_count,0.00037673811077736574
extra_trees,plan_time,merge_join_count,0.00035844892778290176
extra_trees,plan_time,incremental_sort_count,0.00021097623937586712
extra_trees,plan_time,windowagg_count,0.0001380281814922509
extra_trees,plan_time,root_node_type__Nested Loop,6.128239312481379e-05
extra_trees,plan_time,root_node_type__Hash Join,5.0220551607100474e-05
extra_trees,plan_time,root_node_type__Bitmap Heap Scan,5.459043426635906e-06
extra_trees,plan_time,root_node_type__Seq Scan,5.379349696012112e-06
gradient_boosting,plan_time,log1p_estimated_total_cost,0.19527912888365195
gradient_boosting,plan_time,log1p_estimated_startup_cost,0.17704033122792576
gradient_boosting,plan_time,estimated_total_cost,0.17649806437250273
gradient_boosting,plan_time,estimated_startup_cost,0.14254547158512104
