query_id,true_best_variant,picked_variant,true_best_ms,picked_ms,regret_ms,regret_ratio,hit,model,regime
ds_q06_web_vs_store,default,default,696.566,696.566,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q07_yearly_trend,no_mergejoin,no_mergejoin,572.578,572.578,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q16_web_returns,no_mergejoin,no_mergejoin,35.959,35.959,0.0,0.0,1,random_forest_tuned,post_mortem
q02,no_mergejoin,no_mergejoin,3199.538,3199.538,0.0,0.0,1,random_forest_tuned,post_mortem
q07,no_nestloop,no_nestloop,2402.029,2402.029,0.0,0.0,1,random_forest_tuned,post_mortem
q09,no_nestloop,no_nestloop,9471.806,9471.806,0.0,0.0,1,random_forest_tuned,post_mortem
q17,no_hashjoin,no_hashjoin,939.65,939.65,0.0,0.0,1,random_forest_tuned,post_mortem
q18,default,default,13888.445,13888.445,0.0,0.0,1,random_forest_tuned,post_mortem
q20,no_hashjoin,no_hashjoin,4427.324,4427.324,0.0,0.0,1,random_forest_tuned,post_mortem
q01_p2,no_hashjoin,no_hashjoin,9512.992,9512.992,0.0,0.0,1,random_forest_tuned,post_mortem
q03_p3,no_mergejoin,no_mergejoin,1371.854,1371.854,0.0,0.0,1,random_forest_tuned,post_mortem
q04_p2,no_hashjoin,no_hashjoin,693.738,693.738,0.0,0.0,1,random_forest_tuned,post_mortem
q05_p0,no_nestloop,no_nestloop,2611.541,2611.541,0.0,0.0,1,random_forest_tuned,post_mortem
q05_p1,no_nestloop,no_nestloop,2614.839,2614.839,0.0,0.0,1,random_forest_tuned,post_mortem
q06_p3,no_mergejoin,no_mergejoin,2669.903,2669.903,0.0,0.0,1,random_forest_tuned,post_mortem
q07_p3,no_nestloop,no_nestloop,7456.51,7456.51,0.0,0.0,1,random_forest_tuned,post_mortem
q09_p3,no_nestloop,no_nestloop,3600.447,3600.447,0.0,0.0,1,random_forest_tuned,post_mortem
q09_p4,default,default,8298.719,8298.719,0.0,0.0,1,random_forest_tuned,post_mortem
q11_p2,no_hashjoin,no_hashjoin,843.429,843.429,0.0,0.0,1,random_forest_tuned,post_mortem
q12_p1,no_nestloop,no_nestloop,1816.0,1816.0,0.0,0.0,1,random_forest_tuned,post_mortem
q14_p4,no_hashjoin,no_hashjoin,2474.995,2474.995,0.0,0.0,1,random_forest_tuned,post_mortem
q15_p0,no_nestloop,no_nestloop,2830.03,2830.03,0.0,0.0,1,random_forest_tuned,post_mortem
q15_p3,default,default,4889.391,4889.391,0.0,0.0,1,random_forest_tuned,post_mortem
q19_p1,no_mergejoin,no_mergejoin,371.417,371.417,0.0,0.0,1,random_forest_tuned,post_mortem
q20_p3,no_hashjoin,no_hashjoin,10269.854,10269.854,0.0,0.0,1,random_forest_tuned,post_mortem
q21_p2,no_nestloop,no_nestloop,9402.375,9402.375,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q01_filter_agg,no_mergejoin,no_mergejoin,537.585,537.585,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q12_catalog_topk,no_nestloop,no_nestloop,356.789,356.789,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q14_state_revenue,default,default,495.792,495.792,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q20_demographic,no_mergejoin,no_mergejoin,726.447,726.447,0.0,0.0,1,random_forest_tuned,post_mortem
q08,no_hashjoin,no_hashjoin,1382.048,1382.048,0.0,0.0,1,random_forest_tuned,post_mortem
q01_p1,default,default,9892.378,9892.378,0.0,0.0,1,random_forest_tuned,post_mortem
q02_p0,no_mergejoin,no_mergejoin,3313.199,3313.199,0.0,0.0,1,random_forest_tuned,post_mortem
q02_p3,no_hashjoin,no_hashjoin,3155.964,3155.964,0.0,0.0,1,random_forest_tuned,post_mortem
q04_p1,default,default,616.709,616.709,0.0,0.0,1,random_forest_tuned,post_mortem
q04_p3,default,default,990.862,990.862,0.0,0.0,1,random_forest_tuned,post_mortem
q05_p4,no_nestloop,no_nestloop,5488.744,5488.744,0.0,0.0,1,random_forest_tuned,post_mortem
q06_p1,no_mergejoin,no_mergejoin,2169.062,2169.062,0.0,0.0,1,random_forest_tuned,post_mortem
q07_p0,no_nestloop,no_nestloop,2952.799,2952.799,0.0,0.0,1,random_forest_tuned,post_mortem
q08_p1,default,default,2058.638,2058.638,0.0,0.0,1,random_forest_tuned,post_mortem
q08_p4,no_mergejoin,no_mergejoin,2379.517,2379.517,0.0,0.0,1,random_forest_tuned,post_mortem
q09_p2,no_nestloop,no_nestloop,7339.487,7339.487,0.0,0.0,1,random_forest_tuned,post_mortem
q11_p1,no_hashjoin,no_hashjoin,834.804,834.804,0.0,0.0,1,random_forest_tuned,post_mortem
q12_p0,no_nestloop,no_nestloop,3516.724,3516.724,0.0,0.0,1,random_forest_tuned,post_mortem
q14_p1,no_nestloop,no_nestloop,2195.13,2195.13,0.0,0.0,1,random_forest_tuned,post_mortem
q15_p2,default,default,4505.763,4505.763,0.0,0.0,1,random_forest_tuned,post_mortem
q16_p1,no_hashjoin,no_hashjoin,1923.553,1923.553,0.0,0.0,1,random_forest_tuned,post_mortem
q16_p4,no_mergejoin,no_mergejoin,1783.659,1783.659,0.0,0.0,1,random_forest_tuned,post_mortem
q17_p1,no_hashjoin,no_hashjoin,2053.23,2053.23,0.0,0.0,1,random_forest_tuned,post_mortem
q19_p2,default,no_nestloop,231.761,232.592,0.8310000000000173,0.0035855903279673473,0,random_forest_tuned,post_mortem
q19_p4,no_hashjoin,no_hashjoin,264.754,264.754,0.0,0.0,1,random_forest_tuned,post_mortem
q20_p4,no_hashjoin,no_hashjoin,17808.234,17808.234,0.0,0.0,1,random_forest_tuned,post_mortem
q21_p1,no_nestloop,no_nestloop,10391.969,10391.969,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q10_window_topk,no_nestloop,no_mergejoin,1763.773,1774.157,10.384000000000015,0.0058873789314157765,0,random_forest_tuned,post_mortem
ds_q11_inventory_check,no_nestloop,no_nestloop,343.882,343.882,0.0,0.0,1,random_forest_tuned,post_mortem
ds_q17_dow_pattern,no_mergejoin,no_mergejoin,571.268,571.268,0.0,0.0,1,random_forest_tuned,post_mortem
q12,no_nestloop,no_mergejoin,3102.1,4213.912,1111.8120000000004,0.3584062409335613,0,ridge,plan_time
q22,no_hashjoin,no_mergejoin,345.909,387.731,41.822,0.12090463098676252,0,ridge,plan_time
q02_p1,default,no_hashjoin,4831.789,7944.497,3112.7080000000005,0.6442143893286731,0,ridge,plan_time
q02_p4,no_hashjoin,no_hashjoin,1809.446,1809.446,0.0,0.0,1,ridge,plan_time
q04_p0,default,no_mergejoin,698.777,778.803,80.02599999999995,0.11452294508834715,0,ridge,plan_time
q04_p4,no_hashjoin,no_hashjoin,872.911,872.911,0.0,0.0,1,ridge,plan_time
q05_p3,default,no_nestloop,4461.936,4531.435,69.4990000000007,0.015575974195954467,0,ridge,plan_time
q06_p2,no_mergejoin,no_mergejoin,2665.156,2665.156,0.0,0.0,1,ridge,plan_time
q07_p4,no_nestloop,no_nestloop,1892.741,1892.741,0.0,0.0,1,ridge,plan_time
q08_p0,no_hashjoin,no_nestloop,1937.078,4359.179,2422.101,1.2503889879498917,0,ridge,plan_time
q08_p3,no_mergejoin,no_nestloop,3685.784,6346.003,2660.2189999999996,0.7217511932332441,0,ridge,plan_time
q11_p0,no_mergejoin,no_mergejoin,816.264,816.264,0.0,0.0,1,ridge,plan_time
q12_p4,default,no_mergejoin,2249.037,6799.636,4550.599,2.0233544401448267,0,ridge,plan_time
q14_p0,default,no_mergejoin,2971.513,4340.477,1368.964,0.4606959484949249,0,ridge,plan_time
q14_p3,no_nestloop,default,3418.002,3822.122,404.1199999999999,0.11823281554545595,0,ridge,plan_time
q16_p0,no_mergejoin,no_hashjoin,1724.904,2973.287,1248.3829999999998,0.7237405675910078,0,ridge,plan_time
q16_p2,no_mergejoin,no_hashjoin,1893.313,2627.809,734.4960000000001,0.3879421944496235,0,ridge,plan_time
q17_p0,no_hashjoin,no_hashjoin,1729.994,1729.994,0.0,0.0,1,ridge,plan_time
q19_p0,default,no_mergejoin,435.11,498.459,63.34899999999999,0.14559306841948016,0,ridge,plan_time
q19_p3,default,default,392.595,392.595,0.0,0.0,1,ridge,plan_time
q21_p0,no_nestloop,no_nestloop,9580.423,9580.423,0.0,0.0,1,ridge,plan_time
ds_q04_customer_topk,no_mergejoin,no_mergejoin,577.718,577.718,0.0,0.0,1,ridge,plan_time
ds_q09_avg_basket,no_mergejoin,no_nestloop,420.93,445.387,24.456999999999994,0.05810229729408678,0,ridge,plan_time
ds_q13_high_quantity,default,no_nestloop,350.115,458.559,108.44400000000002,0.3097382288676578,0,ridge,plan_time
ds_q18_brand_topk,default,no_nestloop,662.842,774.295,111.45299999999997,0.1681441429480932,0,ridge,plan_time
ds_q19_self_join,no_mergejoin,default,0.106,5.488,5.382000000000001,50.773584905660385,0,ridge,plan_time
q03,default,no_mergejoin,1640.223,2101.658,461.43499999999995,0.28132455160060554,0,ridge,plan_time
q04,default,default,1216.968,1216.968,0.0,0.0,1,ridge,plan_time
q11,no_mergejoin,no_hashjoin,308.811,403.337,94.52600000000001,0.3060966092529087,0,ridge,plan_time
q13,no_mergejoin,no_hashjoin,2595.487,23582.006,20986.519,8.085773113099776,0,ridge,plan_time
q16,no_mergejoin,no_hashjoin,1106.188,1383.148,276.9599999999998,0.2503733542580464,0,ridge,plan_time
q19,no_hashjoin,no_mergejoin,198.599,215.468,16.869,0.08494000473315566,0,ridge,plan_time
q21,no_nestloop,no_nestloop,10367.542,10367.542,0.0,0.0,1,ridge,plan_time
q01_p0,default,no_nestloop,3349.141,8294.856,4945.715,1.4767114910957764,0,ridge,plan_time
q01_p3,no_nestloop,no_mergejoin,11661.957,12287.425,625.4679999999989,0.05363319381129594,0,ridge,plan_time
q02_p2,default,no_hashjoin,3165.46,5007.324,1841.8639999999996,0.5818629835790057,0,ridge,plan_time
q03_p1,no_mergejoin,no_nestloop,1234.521,1698.449,463.9280000000001,0.37579595648838704,0,ridge,plan_time
q05_p2,no_nestloop,no_mergejoin,3152.242,3505.474,353.23199999999997,0.11205738645700425,0,ridge,plan_time
q06_p0,no_hashjoin,no_hashjoin,3038.813,3038.813,0.0,0.0,1,ridge,plan_time
q07_p1,no_nestloop,no_nestloop,5609.712,5609.712,0.0,0.0,1,ridge,plan_time
q08_p2,no_hashjoin,no_nestloop,2794.834,6391.806,3596.9719999999998,1.287007385769602,0,ridge,plan_time
q09_p1,no_nestloop,no_nestloop,9813.353,9813.353,0.0,0.0,1,ridge,plan_time
q11_p4,no_mergejoin,no_mergejoin,595.204,595.204,0.0,0.0,1,ridge,plan_time
q12_p3,no_mergejoin,no_mergejoin,2085.778,2085.778,0.0,0.0,1,ridge,plan_time
q14_p2,no_nestloop,no_hashjoin,2670.408,3469.28,798.8720000000003,0.2991572823328872,0,ridge,plan_time
q16_p3,no_nestloop,no_hashjoin,1427.093,2488.674,1061.581,0.7438765378289991,0,ridge,plan_time
q17_p3,no_hashjoin,no_hashjoin,821.265,821.265,0.0,0.0,1,ridge,plan_time
q21_p4,no_hashjoin,no_nestloop,19158.111,20578.87,1420.7589999999982,0.07415966010427644,0,ridge,plan_time
ds_q03_promo_effect,no_nestloop,no_mergejoin,389.256,613.607,224.351,0.5763584890149414,0,ridge,plan_time
ds_q05_returns_filter,no_nestloop,no_mergejoin,163.456,196.199,32.74300000000002,0.20031690485512943,0,ridge,plan_time
ds_q08_addr_filter,no_mergejoin,no_mergejoin,39.483,39.483,0.0,0.0,1,ridge,plan_time
ds_q15_returns_ratio,no_mergejoin,no_mergejoin,643.784,643.784,0.0,0.0,1,ridge,plan_time
q01,no_nestloop,no_hashjoin,6900.803,11191.817,4291.013999999999,0.6218137222581197,0,ridge,plan_time
q05,no_nestloop,default,2887.231,8827.081,5939.85,2.057282565890987,0,ridge,plan_time
q06,no_nestloop,no_mergejoin,1737.52,1959.172,221.65200000000004,0.12756802799392242,0,ridge,plan_time
q10,default,no_nestloop,1318.8,2518.974,1200.1740000000002,0.9100500454959055,0,ridge,plan_time
q14,no_mergejoin,no_mergejoin,1504.265,1504.265,0.0,0.0,1,ridge,plan_time
q15,no_mergejoin,no_hashjoin,2113.783,2518.908,405.125,0.19165874642761338,0,ridge,plan_time
q01_p4,default,no_hashjoin,7707.074,11899.903,4192.829000000001,0.5440234517016447,0,ridge,plan_time
q03_p0,no_mergejoin,no_nestloop,1944.902,5589.845,3644.943,1.8741011115213002,0,ridge,plan_time
q03_p2,default,no_nestloop,1513.628,3760.127,2246.499,1.4841817143974612,0,ridge,plan_time
q03_p4,no_mergejoin,no_nestloop,1153.93,1581.882,427.952,0.37086478382570864,0,ridge,plan_time
q06_p4,no_nestloop,no_nestloop,1983.072,1983.072,0.0,0.0,1,ridge,plan_time
q07_p2,no_nestloop,no_hashjoin,8066.19,10847.283,2781.093,0.34478396863946914,0,ridge,plan_time
q09_p0,no_nestloop,no_nestloop,16162.56,16162.56,0.0,0.0,1,ridge,plan_time
