regime,model,trial,qerror_median
plan_time,random_forest,0,1.426352038554444
plan_time,random_forest,1,1.4356616610493305
plan_time,random_forest,2,1.4525250254992623
plan_time,random_forest,3,1.4299939530521677
plan_time,random_forest,4,1.455032601833596
plan_time,random_forest,5,1.4503881602838204
plan_time,random_forest,6,1.556826877749081
plan_time,random_forest,7,1.4355886726493694
plan_time,random_forest,8,1.4620241205759643
plan_time,extra_trees,0,1.4618709972256716
plan_time,extra_trees,1,1.4182522280444523
plan_time,extra_trees,2,1.4624812720521767
plan_time,extra_trees,3,1.4152414709404795
plan_time,extra_trees,4,1.4623923830906194
plan_time,extra_trees,5,1.6271637592621566
plan_time,extra_trees,6,1.5622305701985022
plan_time,extra_trees,7,1.4501145941015738
plan_time,extra_trees,8,1.5897153073498473
plan_time,extra_trees,9,1.4982033162629436
plan_time,extra_trees,10,1.4046292647427912
plan_time,extra_trees,11,1.4054370945402805
plan_time,extra_trees,12,1.404399367601346
plan_time,extra_trees,13,1.4057570058913014
plan_time,extra_trees,14,1.404548347448826
plan_time,gradient_boosting,0,1.487172944850061
plan_time,gradient_boosting,1,1.4371400412492752
plan_time,gradient_boosting,2,1.452547798290218
plan_time,xgboost,0,1.528703663432437
plan_time,xgboost,1,1.4821842815341193
plan_time,xgboost,2,1.4302180833355083
plan_time,xgboost,3,1.482733724009179
plan_time,xgboost,4,1.4801209626168765
plan_time,xgboost,5,1.436505311275591
plan_time,xgboost,6,1.4385055912555345
plan_time,lightgbm,0,1.4554103092766983
plan_time,lightgbm,1,1.5369452161922743
