model,regime,feature,importance
lasso,plan_time,merge_join_count,0.303530963823245
lasso,plan_time,estimated_rows,0.2708579105986993
lasso,plan_time,index_only_scan_count,0.19545548532278179
lasso,plan_time,total_nodes,0.17653224447870144
lasso,plan_time,estimated_total_cost,0.16248094546337954
lasso,plan_time,root_node_type__Aggregate,0.13525150222658308
lasso,plan_time,num_aggregates,0.11423132434155328
lasso,plan_time,tree_depth,0.09164225750463949
lasso,plan_time,planning_time_ms,0.085091032938133
lasso,plan_time,root_node_type__Nested Loop,0.07440088713434641
lasso,plan_time,aggregate_count,0.0719679353836268
lasso,plan_time,root_node_type__Sort,0.03763508034445378
lasso,plan_time,bitmap_index_scan_count,0.012962999984361517
lasso,plan_time,materialize_count,0.008777667597248408
lasso,plan_time,hash_count,0.001626954462283662
lasso,plan_time,incremental_sort_count,0.0008419450524833877
lasso,plan_time,num_joins,0.0
lasso,plan_time,num_sorts,0.0
lasso,plan_time,seq_scan_count,0.0
lasso,plan_time,bitmap_heap_scan_count,0.0
lasso,plan_time,limit_count,0.0
lasso,plan_time,estimated_startup_cost,0.0
lasso,plan_time,max_subtree_cost,0.0
lasso,plan_time,root_node_type__Limit,0.0
lightgbm,plan_time,planning_time_ms,6372.0
lightgbm,plan_time,estimated_total_cost,1896.0
lightgbm,plan_time,tree_depth,1754.0
lightgbm,plan_time,total_nodes,1534.0
lightgbm,plan_time,seq_scan_count,759.0
lightgbm,plan_time,num_sorts,730.0
lightgbm,plan_time,estimated_rows,661.0
lightgbm,plan_time,num_scans,645.0
lightgbm,plan_time,index_scan_count,526.0
lightgbm,plan_time,num_aggregates,489.0
lightgbm,plan_time,hash_join_count,447.0
lightgbm,plan_time,estimated_startup_cost,350.0
lightgbm,plan_time,index_only_scan_count,293.0
lightgbm,plan_time,nested_loop_count,287.0
lightgbm,plan_time,bitmap_index_scan_count,153.0
lightgbm,plan_time,num_joins,117.0
lightgbm,plan_time,sort_count,68.0
lightgbm,plan_time,gather_merge_count,63.0
lightgbm,plan_time,root_node_type__Sort,62.0
lightgbm,plan_time,hash_count,47.0
lightgbm,plan_time,limit_count,42.0
lightgbm,plan_time,gather_count,38.0
lightgbm,plan_time,aggregate_count,35.0
lightgbm,plan_time,root_node_type__Aggregate,25.0
lightgbm,plan_time,materialize_count,24.0
lightgbm,plan_time,bitmap_heap_scan_count,23.0
lightgbm,plan_time,merge_join_count,18.0
lightgbm,plan_time,max_subtree_cost,18.0
lightgbm,plan_time,incremental_sort_count,9.0
lightgbm,plan_time,root_node_type__Limit,3.0
lightgbm,plan_time,root_node_type__Nested Loop,0.0
linear_regression,plan_time,estimated_total_cost,179.0217378034957
linear_regression,plan_time,max_subtree_cost,152.97014360095892
linear_regression,plan_time,estimated_startup_cost,25.86700293549367
linear_regression,plan_time,num_scans,2.2144962235989625
linear_regression,plan_time,index_scan_count,1.8999161545528505
linear_regression,plan_time,tree_depth,0.8096542836493045
linear_regression,plan_time,total_nodes,0.7323218925937393
linear_regression,plan_time,hash_join_count,0.4523937474310396
linear_regression,plan_time,hash_count,0.4523937474197633
linear_regression,plan_time,sort_count,0.44091044518734285
linear_regression,plan_time,seq_scan_count,0.43870790380837565
linear_regression,plan_time,estimated_rows,0.4198982816430634
linear_regression,plan_time,num_sorts,0.4079268331895364
linear_regression,plan_time,nested_loop_count,0.35329391350134076
linear_regression,plan_time,merge_join_count,0.30816209870852496
linear_regression,plan_time,bitmap_heap_scan_count,0.2818524988675217
linear_regression,plan_time,bitmap_index_scan_count,0.2818524988609092
linear_regression,plan_time,root_node_type__Nested Loop,0.19932292290483944
linear_regression,plan_time,gather_merge_count,0.19673844081755276
linear_regression,plan_time,root_node_type__Aggregate,0.14419675182464464
linear_regression,plan_time,index_only_scan_count,0.11954780574308063
linear_regression,plan_time,root_node_type__Sort,0.06669278228445748
linear_regression,plan_time,gather_count,0.06171434331824638
linear_regression,plan_time,planning_time_ms,0.035248094991447196
linear_regression,plan_time,materialize_count,0.029450441919879562
linear_regression,plan_time,limit_count,0.018211062440619485
linear_regression,plan_time,root_node_type__Limit,0.01821106243289078
linear_regression,plan_time,num_joins,0.010828336612024451
linear_regression,plan_time,incremental_sort_count,0.010096216459847427
linear_regression,plan_time,aggregate_count,0.0030495159905494984
linear_regression,plan_time,num_aggregates,0.0030495159801088223
random_forest,plan_time,max_subtree_cost,0.18125359482787518
random_forest,plan_time,estimated_total_cost,0.1763115951022532
random_forest,plan_time,estimated_startup_cost,0.15060632255729522
random_forest,plan_time,planning_time_ms,0.07102735387351886
random_forest,plan_time,estimated_rows,0.0598988751135995
random_forest,plan_time,tree_depth,0.051138474766337684
random_forest,plan_time,bitmap_heap_scan_count,0.03930025172088465
random_forest,plan_time,bitmap_index_scan_count,0.03794186036472938
random_forest,plan_time,index_scan_count,0.0364857023729727
random_forest,plan_time,total_nodes,0.036260513810614944
random_forest,plan_time,num_scans,0.030470015256696306
random_forest,plan_time,num_joins,0.019308288463791182
random_forest,plan_time,nested_loop_count,0.015989516755085666
random_forest,plan_time,seq_scan_count,0.013665486500300124
random_forest,plan_time,hash_join_count,0.008831309884141658
